SamplePic,SampleSound,SampleMovie,r,c,Correct,r_1,c_1,Foil1,r_2,c_2,Foil2,r_3,c_3,Foil3,r_4,c_4,Foil4,r_5,c_5,SampleMode,Feedback,Correct_1,RT,Comment,filename,trial,correct,shape_combination,session,cont_trial,condition,test_shape
none,gogo.wav,none,0,0,RSlide26.jpg,1,1,Eshape3.jpg,3,3,none,0,0,none,0,0,none,0,0,2,no,NO,939,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,34,0,RSlide26.jpg_Eshape3.jpg,1,34,test,round
none,Jelly.wav,none,0,0,Jelly_02.jpg,3,1,Vitamin_01.jpg,2,3,none,0,0,none,0,0,none,0,0,2,yes,NO,1601,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,35,0,Jelly_02.jpg_Vitamin_01.jpg,1,35,regular,"NA"
none,Fire.wav,none,0,0,Fire_01.jpg,3,2,Juice_02.jpg,2,3,none,0,0,none,0,0,none,0,0,2,yes,YES,1486,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,36,1,Fire_01.jpg_Juice_02.jpg,1,36,regular,"NA"
none,Grapes.wav,none,0,0,Grapes_02.jpg,3,2,Cooler_02.jpg,2,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),799,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,37,1,Grapes_02.jpg_Cooler_02.jpg,1,37,regular,"NA"
none,Turtle.wav,none,0,0,Turtle_01.jpg,1,1,Shoe_02.jpg,3,3,none,0,0,none,0,0,none,0,0,2,yes,NO,1041,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,38,0,Turtle_01.jpg_Shoe_02.jpg,1,38,regular,"NA"
none,Pear.wav,none,0,0,Pear_02.jpg,3,1,Bug_02.jpg,2,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1232,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,39,1,Pear_02.jpg_Bug_02.jpg,1,39,regular,"NA"
none,Stethoscope.wav,none,0,0,Stethoscope_01.jpg,2,3,Tea_01.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1383,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,40,1,Stethoscope_01.jpg_Tea_01.jpg,1,40,regular,"NA"
none,Camera.wav,none,0,0,Camera_01.jpg,3,3,Pineapple_01.jpg,2,2,none,0,0,none,0,0,none,0,0,2,yes,YES,1100,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,41,1,Camera_01.jpg_Pineapple_01.jpg,1,41,regular,"NA"
none,Sugar Cane.wav,none,0,0,Sugar Cane_02.jpg,2,3,Tv_01.jpg,3,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1086,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,42,1,Sugar Cane_02.jpg_Tv_01.jpg,1,42,regular,"NA"
none,Egg.wav,none,0,0,Egg_01.jpg,3,1,Tv_02.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),919,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,43,1,Egg_01.jpg_Tv_02.jpg,1,43,regular,"NA"
none,dodo.wav,none,0,0,RSlide37.jpg,2,2,Eshape.jpg,1,1,none,0,0,none,0,0,none,0,0,2,no,YES,1069,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,44,1,RSlide37.jpg_Eshape.jpg,1,44,test,round
none,Water.wav,none,0,0,Water_02.jpg,2,3,Raisin_01.jpg,3,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1736,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,45,1,Water_02.jpg_Raisin_01.jpg,1,45,regular,"NA"
none,Ear.wav,none,0,0,Ear_02.jpg,3,2,Backpack_02.jpg,1,1,none,0,0,none,0,0,none,0,0,2,yes,YES,1333,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,46,1,Ear_02.jpg_Backpack_02.jpg,1,46,regular,"NA"
none,Backpack.wav,none,0,0,Backpack_01.jpg,1,1,Maisha_02.jpg,2,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1340,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,47,1,Backpack_01.jpg_Maisha_02.jpg,1,47,regular,"NA"
none,Water.wav,none,0,0,Water_01.jpg,2,1,Coconut_02.jpg,3,3,none,0,0,none,0,0,none,0,0,2,yes,NO,1214,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,48,0,Water_01.jpg_Coconut_02.jpg,1,48,regular,"NA"
none,Bird.wav,none,0,0,Bird_01.jpg,3,1,Swelling_02.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES,1695,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,49,1,Bird_01.jpg_Swelling_02.jpg,1,49,regular,"NA"
none,Raisin.wav,none,0,0,Raisin_01.jpg,3,2,Pinecone_02.jpg,2,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),927,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,50,1,Raisin_01.jpg_Pinecone_02.jpg,1,50,regular,"NA"
none,Orange.wav,none,0,0,Orange_01.jpg,2,3,Tea_02.jpg,3,1,none,0,0,none,0,0,none,0,0,2,yes,NO,1729,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,51,0,Orange_01.jpg_Tea_02.jpg,1,51,regular,"NA"
none,Peanut.wav,none,0,0,Peanut_01.jpg,3,3,Ear_02.jpg,2,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1895,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,52,1,Peanut_01.jpg_Ear_02.jpg,1,52,regular,"NA"
none,Hose.wav,none,0,0,Hose_02.jpg,2,1,Balloon_02.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1404,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,53,1,Hose_02.jpg_Balloon_02.jpg,1,53,regular,"NA"
none,Hat.wav,none,0,0,Hat_01.jpg,1,3,Nyota_01.jpg,2,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1366,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,54,1,Hat_01.jpg_Nyota_01.jpg,1,54,regular,"NA"
none,Tomato.wav,none,0,0,Tomato_01.jpg,1,3,Baby_02.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1462,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,55,1,Tomato_01.jpg_Baby_02.jpg,1,55,regular,"NA"
none,Blueberry.wav,none,0,0,Blueberry_02.jpg,1,1,Fridge_02.jpg,2,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1325,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,56,1,Blueberry_02.jpg_Fridge_02.jpg,1,56,regular,"NA"
none,Vitamin.wav,none,0,0,Vitamin_02.jpg,1,3,Knife_02.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,NO,2130,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,57,0,Vitamin_02.jpg_Knife_02.jpg,1,57,regular,"NA"
none,sisi.wav,none,0,0,ESlide8.jpg,2,3,RSlide21.jpg,1,1,none,0,0,none,0,0,none,0,0,2,no,YES,890,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,58,1,ESlide8.jpg_RSlide21.jpg,1,58,test,edgy
